method,split,seed,mean_success,ci95_success,mean_rare_failure_recall,ci95_rare_failure_recall,mean_contact_boundary_error,ci95_contact_boundary_error,mean_tail_risk_rate,ci95_tail_risk_rate,mean_unsafe_commitment,ci95_unsafe_commitment,mean_overtrust_rate,ci95_overtrust_rate,mean_calibration_ece,ci95_calibration_ece,mean_recovery_success,ci95_recovery_success,mean_intervention_cost,ci95_intervention_cost,mean_data_efficiency_proxy,ci95_data_efficiency_proxy,groups,regret_to_oracle
generic_scaling_law_extrapolator,combined_exception_stress,2,0.3133,0.0253,0.2354,0.018,0.3303,0.0196,0.2422,0.019,0.1599,0.0164,0.2197,0.0152,0.2214,0.019,0.2173,0.0134,0.1772,0.0157,0.5129,0.0173,35,0.4054
generic_scaling_law_extrapolator,combined_exception_stress,3,0.3136,0.0255,0.216,0.0145,0.3395,0.0157,0.2548,0.0199,0.1541,0.0148,0.2381,0.0139,0.2306,0.0156,0.2153,0.0186,0.1844,0.0117,0.501,0.0176,35,0.4037
generic_scaling_law_extrapolator,combined_exception_stress,4,0.3119,0.0244,0.2085,0.011,0.3422,0.0221,0.2395,0.0168,0.1558,0.017,0.2259,0.017,0.2371,0.0176,0.2252,0.0139,0.181,0.0153,0.4997,0.0188,35,0.3789
generic_scaling_law_extrapolator,combined_exception_stress,5,0.3184,0.025,0.2214,0.0158,0.3357,0.0235,0.2395,0.02,0.1378,0.0148,0.2357,0.0129,0.2272,0.0166,0.235,0.0184,0.1827,0.0125,0.515,0.0195,35,0.3813
generic_scaling_law_extrapolator,combined_exception_stress,6,0.301,0.0231,0.2153,0.015,0.3228,0.0189,0.2398,0.0194,0.1582,0.0143,0.2374,0.0176,0.2265,0.0148,0.2272,0.0172,0.1946,0.015,0.5031,0.016,35,0.3956
generic_scaling_law_extrapolator,contact_tail_shift,0,0.3871,0.0216,0.2248,0.0146,0.316,0.0207,0.2231,0.0186,0.1405,0.0171,0.2296,0.0135,0.198,0.017,0.2684,0.0159,0.1697,0.0129,0.532,0.0202,35,0.3578
generic_scaling_law_extrapolator,contact_tail_shift,1,0.3969,0.0238,0.2367,0.018,0.3357,0.0201,0.2265,0.0197,0.1218,0.0134,0.2139,0.0154,0.2204,0.0178,0.2507,0.0159,0.1721,0.0121,0.5337,0.0178,35,0.3344
generic_scaling_law_extrapolator,contact_tail_shift,2,0.385,0.0256,0.2238,0.0148,0.3418,0.018,0.2248,0.0128,0.1442,0.0158,0.2245,0.017,0.2194,0.0177,0.2728,0.0148,0.1813,0.0149,0.5262,0.0176,35,0.3456
generic_scaling_law_extrapolator,contact_tail_shift,3,0.3813,0.0191,0.2214,0.0148,0.315,0.018,0.2293,0.0134,0.1412,0.0129,0.2119,0.0154,0.1939,0.0189,0.2684,0.0165,0.1803,0.0119,0.518,0.0171,35,0.3612
generic_scaling_law_extrapolator,contact_tail_shift,4,0.4054,0.02,0.2316,0.0135,0.3272,0.0211,0.2293,0.0152,0.1476,0.0135,0.2211,0.0167,0.2116,0.0197,0.2554,0.0186,0.1612,0.011,0.516,0.0143,35,0.3575
generic_scaling_law_extrapolator,contact_tail_shift,5,0.3884,0.026,0.2289,0.0132,0.3299,0.0162,0.2296,0.0182,0.1354,0.0116,0.2228,0.0171,0.2031,0.0136,0.2656,0.0177,0.1602,0.0132,0.5272,0.0213,35,0.3493
generic_scaling_law_extrapolator,contact_tail_shift,6,0.3912,0.0222,0.2316,0.0159,0.319,0.0191,0.2374,0.0179,0.1388,0.0159,0.2068,0.0135,0.2153,0.0126,0.2656,0.0169,0.1592,0.0135,0.5088,0.0165,35,0.3704
generic_scaling_law_extrapolator,embodiment_shift,0,0.4095,0.0219,0.2612,0.0181,0.3024,0.0185,0.2034,0.0157,0.1316,0.0161,0.2133,0.0162,0.2024,0.0142,0.2639,0.0203,0.1799,0.0143,0.5061,0.0216,35,0.3337
generic_scaling_law_extrapolator,embodiment_shift,1,0.4048,0.0235,0.2639,0.0172,0.299,0.0192,0.2245,0.0172,0.1201,0.0135,0.1973,0.014,0.2031,0.0169,0.252,0.0148,0.1779,0.0128,0.5269,0.0155,35,0.3374
generic_scaling_law_extrapolator,embodiment_shift,2,0.4116,0.0245,0.2656,0.0185,0.315,0.0179,0.2095,0.0146,0.1418,0.015,0.2126,0.0117,0.2003,0.0141,0.2759,0.0184,0.184,0.0144,0.5374,0.0175,35,0.3391
generic_scaling_law_extrapolator,embodiment_shift,3,0.401,0.0256,0.2769,0.0166,0.3082,0.0157,0.2116,0.0114,0.1446,0.015,0.2167,0.0138,0.1966,0.0128,0.2605,0.0149,0.1711,0.0144,0.5197,0.0194,35,0.3469
generic_scaling_law_extrapolator,embodiment_shift,4,0.4044,0.024,0.2469,0.0164,0.3058,0.0163,0.2078,0.0152,0.1293,0.016,0.2116,0.0128,0.2027,0.0175,0.2463,0.0136,0.1952,0.015,0.5146,0.0177,35,0.3412
generic_scaling_law_extrapolator,embodiment_shift,5,0.4014,0.0246,0.266,0.015,0.3037,0.0153,0.2024,0.0167,0.1313,0.0132,0.1986,0.0171,0.2078,0.0132,0.2524,0.019,0.1673,0.0137,0.5259,0.0166,35,0.3452
generic_scaling_law_extrapolator,embodiment_shift,6,0.402,0.0189,0.2551,0.0175,0.3116,0.0184,0.1816,0.0146,0.1486,0.0116,0.1925,0.013,0.2122,0.0152,0.2626,0.0173,0.1762,0.0124,0.5313,0.0149,35,0.3408
generic_scaling_law_extrapolator,nominal_scaling,0,0.5099,0.022,0.3017,0.0141,0.2714,0.0187,0.1793,0.0134,0.1119,0.0108,0.1932,0.0112,0.1963,0.0134,0.3143,0.0194,0.149,0.0108,0.5534,0.0193,35,0.2827
generic_scaling_law_extrapolator,nominal_scaling,1,0.4956,0.021,0.2915,0.0157,0.2724,0.0174,0.1833,0.0148,0.1054,0.0125,0.1952,0.018,0.1891,0.0145,0.3136,0.0199,0.1412,0.0111,0.5364,0.0205,35,0.2946
generic_scaling_law_extrapolator,nominal_scaling,2,0.4956,0.0237,0.3071,0.0184,0.2905,0.017,0.1844,0.016,0.1,0.0132,0.1935,0.0139,0.1942,0.0123,0.3003,0.016,0.1459,0.016,0.5551,0.0143,35,0.2905
generic_scaling_law_extrapolator,nominal_scaling,3,0.5129,0.0218,0.2969,0.0145,0.2888,0.0164,0.1878,0.0121,0.1051,0.0111,0.1867,0.0134,0.198,0.0149,0.3031,0.0184,0.152,0.0138,0.5469,0.018,35,0.2874
generic_scaling_law_extrapolator,nominal_scaling,4,0.5197,0.0202,0.3112,0.0164,0.2891,0.0167,0.1844,0.0164,0.1143,0.0151,0.1912,0.0135,0.1908,0.0145,0.3116,0.0173,0.1514,0.0114,0.5347,0.0203,35,0.2714
generic_scaling_law_extrapolator,nominal_scaling,5,0.5,0.0234,0.3092,0.0129,0.2735,0.0153,0.1854,0.0163,0.1037,0.0119,0.1871,0.0168,0.1898,0.0141,0.2929,0.0158,0.1422,0.0141,0.5486,0.0179,35,0.2864
generic_scaling_law_extrapolator,nominal_scaling,6,0.5051,0.0199,0.2997,0.0145,0.2833,0.0192,0.1707,0.0128,0.1031,0.0121,0.2034,0.0142,0.1813,0.015,0.3109,0.0183,0.1415,0.0147,0.5469,0.0189,35,0.2986
generic_scaling_law_extrapolator,shortcut_shift,0,0.3997,0.0179,0.2646,0.0175,0.3197,0.0155,0.2167,0.0154,0.1262,0.0137,0.2241,0.0223,0.2126,0.0154,0.266,0.0162,0.1687,0.0151,0.5252,0.018,35,0.3439
generic_scaling_law_extrapolator,shortcut_shift,1,0.4245,0.0258,0.2595,0.0138,0.3194,0.0193,0.2119,0.0179,0.1378,0.0109,0.2201,0.0178,0.2167,0.0149,0.2799,0.0146,0.1735,0.0127,0.5058,0.0156,35,0.3167
generic_scaling_law_extrapolator,shortcut_shift,2,0.4048,0.0263,0.2527,0.0186,0.3313,0.0214,0.2211,0.0151,0.1255,0.0133,0.2211,0.0165,0.2126,0.0132,0.2629,0.0153,0.1731,0.0126,0.5327,0.0167,35,0.3371
generic_scaling_law_extrapolator,shortcut_shift,3,0.3973,0.0208,0.2616,0.0161,0.2871,0.0155,0.2092,0.0153,0.1299,0.0145,0.2184,0.017,0.2085,0.016,0.268,0.0137,0.1697,0.0123,0.5241,0.0171,35,0.349
generic_scaling_law_extrapolator,shortcut_shift,4,0.4051,0.0203,0.2551,0.0188,0.3065,0.0173,0.216,0.0175,0.1306,0.0138,0.2265,0.0159,0.2027,0.0153,0.283,0.0179,0.1653,0.0136,0.5235,0.0178,35,0.3503
generic_scaling_law_extrapolator,shortcut_shift,5,0.4054,0.0228,0.2626,0.0145,0.2973,0.0163,0.2105,0.0126,0.1463,0.015,0.2218,0.0176,0.218,0.0159,0.2565,0.0162,0.1714,0.0151,0.5231,0.02,35,0.334
generic_scaling_law_extrapolator,shortcut_shift,6,0.4173,0.0241,0.2721,0.0138,0.2912,0.0176,0.2065,0.0146,0.1286,0.0139,0.2279,0.0181,0.2201,0.0144,0.2626,0.0132,0.1684,0.0119,0.5282,0.017,35,0.332
large_behavior_clone,combined_exception_stress,0,0.2752,0.025,0.1694,0.0153,0.3493,0.02,0.2551,0.0196,0.1823,0.0149,0.2327,0.0163,0.2381,0.0161,0.1796,0.0178,0.2051,0.0125,0.5037,0.0194,35,0.4446
large_behavior_clone,combined_exception_stress,1,0.2789,0.0261,0.15,0.0126,0.3517,0.0241,0.2503,0.0205,0.1701,0.0136,0.2429,0.0143,0.2575,0.0182,0.1793,0.0165,0.1755,0.0155,0.4667,0.0218,35,0.4456
large_behavior_clone,combined_exception_stress,2,0.2823,0.0226,0.165,0.0146,0.3738,0.02,0.2667,0.0218,0.166,0.0192,0.2452,0.0147,0.2306,0.0174,0.185,0.013,0.2017,0.0099,0.4871,0.0197,35,0.4364
large_behavior_clone,combined_exception_stress,3,0.2714,0.0265,0.1803,0.0136,0.3622,0.0175,0.2599,0.0167,0.1565,0.015,0.2425,0.0198,0.2361,0.0169,0.1918,0.0159,0.1959,0.0113,0.4714,0.0187,35,0.4459
large_behavior_clone,combined_exception_stress,4,0.2653,0.0272,0.1534,0.0128,0.3493,0.02,0.2704,0.0171,0.165,0.0154,0.2344,0.0212,0.2381,0.0144,0.1765,0.0141,0.181,0.0121,0.466,0.0184,35,0.4255
large_behavior_clone,combined_exception_stress,5,0.2701,0.0201,0.1636,0.0157,0.3697,0.0151,0.2636,0.017,0.1731,0.0152,0.2388,0.015,0.2367,0.0177,0.1827,0.0162,0.1813,0.0118,0.4901,0.0187,35,0.4296
large_behavior_clone,combined_exception_stress,6,0.281,0.0237,0.1724,0.0141,0.3575,0.022,0.2534,0.0162,0.1578,0.0191,0.2507,0.018,0.2466,0.0152,0.1745,0.0169,0.1857,0.0134,0.4942,0.0142,35,0.4156
large_behavior_clone,contact_tail_shift,0,0.3374,0.0233,0.1759,0.017,0.3469,0.0178,0.2446,0.0178,0.149,0.0163,0.2245,0.0146,0.2344,0.0136,0.2333,0.0165,0.166,0.0139,0.5024,0.018,35,0.4075
large_behavior_clone,contact_tail_shift,1,0.3473,0.027,0.1735,0.0166,0.3493,0.02,0.2571,0.0188,0.1469,0.0138,0.2241,0.0158,0.2384,0.0141,0.218,0.0119,0.1629,0.0126,0.4942,0.0182,35,0.384
large_behavior_clone,contact_tail_shift,2,0.3398,0.0229,0.1816,0.0162,0.3442,0.016,0.2415,0.0175,0.1571,0.0159,0.2228,0.0176,0.2415,0.0167,0.2163,0.0188,0.1704,0.0159,0.5041,0.0206,35,0.3908
large_behavior_clone,contact_tail_shift,3,0.3412,0.0286,0.1755,0.0126,0.3476,0.0192,0.2609,0.0199,0.1517,0.0135,0.2238,0.0192,0.234,0.0168,0.2408,0.0133,0.1779,0.0143,0.4918,0.0182,35,0.4014
large_behavior_clone,contact_tail_shift,4,0.3303,0.0224,0.1718,0.0142,0.3473,0.0187,0.2588,0.0177,0.1527,0.0159,0.2204,0.0165,0.2296,0.0145,0.2395,0.0153,0.1714,0.0127,0.4969,0.0151,35,0.4327
large_behavior_clone,contact_tail_shift,5,0.3412,0.0231,0.1704,0.0126,0.349,0.0213,0.2514,0.0188,0.1493,0.0175,0.2218,0.0167,0.234,0.0177,0.2245,0.0168,0.1707,0.0123,0.5071,0.0193,35,0.3966
large_behavior_clone,contact_tail_shift,6,0.3224,0.0255,0.1874,0.0124,0.3568,0.0185,0.2425,0.017,0.1463,0.0156,0.2429,0.0182,0.2265,0.0187,0.2231,0.0147,0.1724,0.0142,0.502,0.0211,35,0.4391
large_behavior_clone,embodiment_shift,0,0.3595,0.0243,0.2092,0.0135,0.3126,0.0189,0.2415,0.0147,0.1493,0.0149,0.2054,0.0201,0.2201,0.0134,0.2282,0.0188,0.1728,0.0138,0.5003,0.0194,35,0.3837
large_behavior_clone,embodiment_shift,1,0.3568,0.0227,0.219,0.017,0.318,0.0177,0.2224,0.018,0.1507,0.0157,0.2014,0.0153,0.2167,0.0167,0.2286,0.0135,0.1741,0.0132,0.4861,0.0213,35,0.3854
large_behavior_clone,embodiment_shift,2,0.3694,0.0226,0.2207,0.016,0.3187,0.0207,0.233,0.0173,0.152,0.0157,0.2102,0.0162,0.2075,0.0154,0.2293,0.0138,0.1701,0.0116,0.4986,0.0153,35,0.3813
large_behavior_clone,embodiment_shift,3,0.3714,0.0234,0.2126,0.0158,0.3224,0.0216,0.2241,0.0209,0.1486,0.0117,0.2248,0.0175,0.2173,0.015,0.2184,0.0132,0.1656,0.015,0.499,0.0157,35,0.3765
large_behavior_clone,embodiment_shift,4,0.3514,0.0273,0.2082,0.0132,0.3099,0.018,0.2327,0.0169,0.1333,0.0128,0.2173,0.0139,0.2116,0.0168,0.216,0.0145,0.1731,0.0134,0.4881,0.0189,35,0.3942
large_behavior_clone,embodiment_shift,5,0.3622,0.0209,0.1986,0.0133,0.3418,0.0177,0.2129,0.0156,0.1463,0.0115,0.2221,0.0153,0.2296,0.0136,0.2269,0.0164,0.1789,0.014,0.4922,0.0161,35,0.3844
large_behavior_clone,embodiment_shift,6,0.3677,0.0214,0.2095,0.0158,0.3071,0.0204,0.2395,0.0154,0.1442,0.014,0.2167,0.0152,0.2337,0.0157,0.2293,0.0166,0.1568,0.0132,0.4918,0.0159,35,0.3752
large_behavior_clone,nominal_scaling,0,0.4531,0.0188,0.2571,0.0174,0.283,0.0156,0.1878,0.0189,0.1031,0.0124,0.2041,0.0141,0.2007,0.0126,0.2684,0.0158,0.1558,0.0133,0.5323,0.018,35,0.3395
large_behavior_clone,nominal_scaling,1,0.4633,0.0248,0.2449,0.0166,0.2963,0.016,0.1946,0.0149,0.1116,0.0122,0.2099,0.014,0.201,0.0111,0.2752,0.0158,0.1405,0.0138,0.5201,0.0147,35,0.3269
large_behavior_clone,nominal_scaling,2,0.466,0.0173,0.2395,0.0163,0.3041,0.0134,0.1861,0.0165,0.1119,0.0118,0.1976,0.0156,0.1969,0.0144,0.2646,0.0149,0.132,0.011,0.5095,0.0225,35,0.3201
large_behavior_clone,nominal_scaling,3,0.4554,0.0192,0.2582,0.0155,0.3031,0.0182,0.1922,0.0149,0.1099,0.0102,0.1963,0.0155,0.1993,0.0139,0.2874,0.0158,0.1361,0.0089,0.5286,0.0149,35,0.3449
large_behavior_clone,nominal_scaling,4,0.4796,0.0247,0.2463,0.0178,0.2956,0.0159,0.1918,0.0152,0.1102,0.0132,0.2078,0.0157,0.2092,0.0154,0.2588,0.0155,0.1493,0.0142,0.5187,0.0167,35,0.3116
large_behavior_clone,nominal_scaling,5,0.4711,0.0235,0.2531,0.0188,0.3041,0.0184,0.1929,0.0112,0.1095,0.0106,0.1935,0.0145,0.1997,0.0188,0.2558,0.0158,0.1595,0.014,0.5269,0.0183,35,0.3153
large_behavior_clone,nominal_scaling,6,0.4888,0.0157,0.2548,0.0174,0.2952,0.0166,0.2031,0.0155,0.117,0.0122,0.2163,0.0165,0.2024,0.0152,0.2711,0.0136,0.15,0.0099,0.516,0.0214,35,0.315
large_behavior_clone,shortcut_shift,0,0.3544,0.0196,0.1983,0.014,0.3231,0.0194,0.2116,0.0141,0.1316,0.0129,0.232,0.0145,0.2214,0.0185,0.2238,0.0178,0.1687,0.0127,0.5075,0.0191,35,0.3891
large_behavior_clone,shortcut_shift,1,0.3735,0.0274,0.2235,0.016,0.3303,0.0193,0.2327,0.0134,0.1429,0.0155,0.2418,0.0159,0.217,0.0135,0.2405,0.0157,0.1677,0.0129,0.4918,0.0153,35,0.3677
large_behavior_clone,shortcut_shift,2,0.3684,0.0269,0.2037,0.0155,0.3211,0.0188,0.2211,0.0191,0.1418,0.0163,0.2378,0.0176,0.2221,0.0177,0.2235,0.0123,0.1677,0.015,0.4952,0.0185,35,0.3735
large_behavior_clone,shortcut_shift,3,0.3558,0.0169,0.2224,0.0132,0.316,0.0159,0.2156,0.0166,0.1381,0.014,0.2398,0.0135,0.232,0.0169,0.235,0.0143,0.1612,0.0132,0.5143,0.0166,35,0.3905
large_behavior_clone,shortcut_shift,4,0.3571,0.0244,0.2116,0.0164,0.3211,0.0155,0.2378,0.016,0.1442,0.0146,0.2306,0.0149,0.2272,0.0185,0.2405,0.0173,0.1616,0.0122,0.5133,0.0167,35,0.3983
large_behavior_clone,shortcut_shift,5,0.3575,0.0236,0.2048,0.0163,0.3088,0.0229,0.2146,0.0156,0.1446,0.0155,0.2391,0.0192,0.2248,0.0141,0.2173,0.0159,0.1707,0.0119,0.5044,0.0179,35,0.382
large_behavior_clone,shortcut_shift,6,0.3537,0.0232,0.2027,0.0135,0.3184,0.0217,0.2347,0.0171,0.1449,0.0159,0.2374,0.0149,0.2378,0.0176,0.2354,0.0167,0.1786,0.0158,0.4946,0.0182,35,0.3956
model_only_scaling,combined_exception_stress,0,0.2891,0.0221,0.1844,0.0173,0.3391,0.0219,0.2415,0.0186,0.1643,0.0114,0.2357,0.0177,0.2269,0.0171,0.2071,0.0131,0.184,0.0138,0.4599,0.0226,35,0.4306
model_only_scaling,combined_exception_stress,1,0.2983,0.0248,0.1884,0.0153,0.3439,0.0188,0.2568,0.0166,0.1497,0.0171,0.2357,0.0168,0.2412,0.0141,0.2095,0.0198,0.1922,0.0146,0.4531,0.0184,35,0.4262
model_only_scaling,combined_exception_stress,2,0.2874,0.0213,0.202,0.0159,0.3493,0.0154,0.2418,0.0166,0.1605,0.0156,0.2282,0.0137,0.2197,0.0168,0.2065,0.014,0.1901,0.0137,0.4823,0.0225,35,0.4313
model_only_scaling,combined_exception_stress,3,0.2704,0.0247,0.1983,0.0166,0.3412,0.0202,0.2534,0.0169,0.1507,0.0142,0.2272,0.0171,0.2374,0.0148,0.2088,0.0173,0.1949,0.0136,0.4728,0.0146,35,0.4469
model_only_scaling,combined_exception_stress,4,0.282,0.0263,0.1844,0.0133,0.3364,0.0226,0.2524,0.016,0.1541,0.0168,0.2323,0.0215,0.2303,0.0157,0.2116,0.0161,0.2024,0.0128,0.4718,0.0274,35,0.4088
model_only_scaling,combined_exception_stress,5,0.2997,0.0258,0.1946,0.0148,0.3558,0.0203,0.249,0.0193,0.1595,0.0151,0.233,0.0152,0.2286,0.0183,0.2187,0.0155,0.1861,0.0118,0.4765,0.0153,35,0.4
model_only_scaling,combined_exception_stress,6,0.3003,0.0187,0.1684,0.0127,0.3483,0.0133,0.2554,0.019,0.1585,0.0133,0.2357,0.0211,0.2303,0.0163,0.2075,0.017,0.199,0.0143,0.4837,0.0154,35,0.3963
model_only_scaling,contact_tail_shift,0,0.3405,0.0251,0.2041,0.0115,0.3435,0.0195,0.2224,0.0208,0.1524,0.0169,0.201,0.0152,0.2143,0.0159,0.2395,0.0155,0.1605,0.0122,0.4786,0.0176,35,0.4044
model_only_scaling,contact_tail_shift,1,0.3384,0.0261,0.2034,0.0167,0.332,0.0189,0.2395,0.0202,0.1497,0.0145,0.2231,0.0154,0.2184,0.0169,0.2548,0.0139,0.1741,0.0136,0.4932,0.0162,35,0.3929
model_only_scaling,contact_tail_shift,2,0.3378,0.0214,0.1983,0.0192,0.3337,0.0226,0.2456,0.0133,0.1456,0.0143,0.2058,0.0162,0.2146,0.0182,0.2432,0.0135,0.1741,0.0142,0.5071,0.0154,35,0.3929
model_only_scaling,contact_tail_shift,3,0.3544,0.0255,0.1993,0.0111,0.332,0.0169,0.2493,0.0207,0.1626,0.0159,0.2211,0.0158,0.2109,0.0143,0.2677,0.016,0.1731,0.0128,0.4789,0.0163,35,0.3881
model_only_scaling,contact_tail_shift,4,0.3602,0.0226,0.1939,0.012,0.3422,0.0218,0.2412,0.0195,0.1571,0.0137,0.2136,0.0153,0.217,0.0187,0.2514,0.0163,0.1602,0.0138,0.485,0.0178,35,0.4027
model_only_scaling,contact_tail_shift,5,0.3643,0.0234,0.2088,0.0141,0.3558,0.0233,0.2194,0.0211,0.1459,0.0139,0.2173,0.0176,0.2173,0.0156,0.2497,0.0136,0.1942,0.0139,0.4939,0.0197,35,0.3735
model_only_scaling,contact_tail_shift,6,0.3745,0.0248,0.1905,0.013,0.3333,0.0227,0.2293,0.0223,0.1514,0.014,0.2126,0.0138,0.2293,0.0173,0.2568,0.0162,0.1694,0.0146,0.5058,0.0216,35,0.3871
model_only_scaling,embodiment_shift,0,0.3724,0.0243,0.2354,0.0174,0.3146,0.0183,0.2061,0.0172,0.1395,0.0151,0.2109,0.0148,0.2065,0.0181,0.2486,0.0161,0.1793,0.0148,0.5017,0.0166,35,0.3707
model_only_scaling,embodiment_shift,1,0.3605,0.0226,0.2354,0.0151,0.3204,0.0162,0.2153,0.0157,0.131,0.0126,0.2061,0.0147,0.2075,0.0141,0.2551,0.015,0.1898,0.0129,0.4803,0.0143,35,0.3816
model_only_scaling,embodiment_shift,2,0.3585,0.0225,0.231,0.0139,0.3116,0.0184,0.199,0.0168,0.1459,0.0134,0.2095,0.0151,0.2143,0.0159,0.2503,0.0124,0.1653,0.0117,0.5003,0.0168,35,0.3922
model_only_scaling,embodiment_shift,3,0.369,0.0227,0.2452,0.0174,0.317,0.0149,0.2238,0.0152,0.1442,0.0139,0.1966,0.0164,0.2041,0.0165,0.2323,0.0172,0.1803,0.0124,0.4963,0.0195,35,0.3789
model_only_scaling,embodiment_shift,4,0.3799,0.0205,0.2282,0.0176,0.3092,0.0188,0.2248,0.0172,0.1446,0.0145,0.199,0.0154,0.2068,0.0186,0.2432,0.0161,0.1639,0.0148,0.5085,0.0176,35,0.3656
model_only_scaling,embodiment_shift,5,0.3714,0.0241,0.2524,0.0155,0.3139,0.0206,0.1932,0.0199,0.1296,0.0125,0.2054,0.0178,0.2054,0.0148,0.2551,0.0133,0.1667,0.013,0.4925,0.0181,35,0.3752
model_only_scaling,embodiment_shift,6,0.3806,0.0252,0.2425,0.0174,0.3347,0.0132,0.2136,0.0166,0.1503,0.0131,0.1922,0.0151,0.2099,0.0193,0.2541,0.0163,0.1701,0.0151,0.4796,0.017,35,0.3622
model_only_scaling,nominal_scaling,0,0.4772,0.0187,0.2755,0.016,0.2895,0.0191,0.1891,0.0172,0.0966,0.0111,0.1925,0.0155,0.1874,0.0174,0.3024,0.0148,0.1408,0.0131,0.5017,0.0157,35,0.3153
model_only_scaling,nominal_scaling,1,0.4622,0.0214,0.2588,0.0176,0.2816,0.0179,0.1942,0.0131,0.1146,0.0128,0.1833,0.0102,0.1861,0.0155,0.2942,0.0147,0.1463,0.0098,0.5071,0.0166,35,0.3279
model_only_scaling,nominal_scaling,2,0.4854,0.0191,0.2718,0.0157,0.2891,0.0164,0.1895,0.0156,0.099,0.0123,0.1935,0.0193,0.1704,0.0144,0.3024,0.0203,0.1347,0.0155,0.5235,0.0228,35,0.3007
model_only_scaling,nominal_scaling,3,0.4636,0.0192,0.2759,0.0158,0.3041,0.0138,0.1735,0.0152,0.1201,0.0146,0.1806,0.0169,0.181,0.0157,0.298,0.0174,0.1517,0.0133,0.5119,0.0182,35,0.3367
model_only_scaling,nominal_scaling,4,0.467,0.0195,0.281,0.0175,0.2946,0.0162,0.1833,0.0156,0.101,0.012,0.181,0.0161,0.1762,0.0122,0.2939,0.0125,0.1446,0.0121,0.5143,0.0185,35,0.3241
model_only_scaling,nominal_scaling,5,0.4687,0.0195,0.2711,0.0156,0.3082,0.0191,0.1861,0.014,0.1153,0.013,0.1905,0.0155,0.1901,0.0121,0.2986,0.0163,0.1442,0.0122,0.5197,0.0193,35,0.3177
model_only_scaling,nominal_scaling,6,0.4769,0.0211,0.2646,0.0147,0.3092,0.0159,0.182,0.0169,0.1173,0.0116,0.1905,0.0107,0.1891,0.0139,0.3092,0.015,0.1429,0.0123,0.5187,0.0197,35,0.3269
model_only_scaling,shortcut_shift,0,0.3701,0.0207,0.2405,0.0141,0.3425,0.0177,0.2187,0.0149,0.1333,0.013,0.2241,0.0179,0.215,0.0137,0.2551,0.0179,0.1697,0.014,0.4966,0.0186,35,0.3735
model_only_scaling,shortcut_shift,1,0.3735,0.0273,0.2548,0.0145,0.3194,0.0168,0.2136,0.0145,0.1384,0.0144,0.2207,0.0171,0.2197,0.0168,0.2643,0.0148,0.1759,0.0169,0.4871,0.0165,35,0.3677
model_only_scaling,shortcut_shift,2,0.3854,0.0197,0.2252,0.011,0.332,0.0144,0.198,0.0135,0.1354,0.0163,0.2184,0.0172,0.2146,0.0165,0.25,0.0189,0.184,0.0152,0.4997,0.016,35,0.3565
model_only_scaling,shortcut_shift,3,0.3759,0.0246,0.2405,0.0148,0.3173,0.0157,0.2173,0.0179,0.1432,0.0171,0.2316,0.0206,0.2129,0.0152,0.2531,0.0148,0.1779,0.0117,0.4983,0.0214,35,0.3704
model_only_scaling,shortcut_shift,4,0.3656,0.0248,0.2384,0.0157,0.3153,0.0187,0.2143,0.0152,0.1378,0.0149,0.2102,0.0202,0.2088,0.0173,0.2578,0.017,0.167,0.0126,0.4959,0.0209,35,0.3898
model_only_scaling,shortcut_shift,5,0.3759,0.0211,0.2272,0.0135,0.3119,0.0177,0.2136,0.0145,0.132,0.0135,0.2245,0.0176,0.2085,0.015,0.252,0.0155,0.167,0.015,0.4929,0.0164,35,0.3636
model_only_scaling,shortcut_shift,6,0.3554,0.0256,0.2449,0.0125,0.3177,0.0213,0.2109,0.0238,0.1364,0.0159,0.2279,0.0155,0.2163,0.0137,0.2544,0.0155,0.1629,0.0143,0.4857,0.0171,35,0.3939
oracle_exception_selector,combined_exception_stress,0,0.7197,0.0164,0.6187,0.0167,0.1803,0.0101,0.085,0.0108,0.0299,0.006,0.019,0.0053,0.0204,0.0062,0.5707,0.021,0.2163,0.015,0.5653,0.0171,35,0.0
oracle_exception_selector,combined_exception_stress,1,0.7245,0.0135,0.6289,0.0156,0.1724,0.0146,0.0786,0.0075,0.0364,0.0099,0.0235,0.0058,0.0207,0.0059,0.5837,0.0166,0.2252,0.0147,0.5724,0.0153,35,0.0
oracle_exception_selector,combined_exception_stress,2,0.7187,0.0155,0.6252,0.0201,0.1816,0.0124,0.0776,0.0105,0.0333,0.0055,0.0204,0.0061,0.019,0.0044,0.5755,0.0206,0.2167,0.0167,0.5643,0.0162,35,0.0
oracle_exception_selector,combined_exception_stress,3,0.7173,0.0152,0.6252,0.0196,0.1704,0.0126,0.0833,0.0091,0.0276,0.0067,0.0211,0.0058,0.0211,0.0061,0.5908,0.0177,0.2388,0.0179,0.5803,0.0187,35,0.0
oracle_exception_selector,combined_exception_stress,4,0.6908,0.0146,0.6391,0.0172,0.1789,0.013,0.081,0.0075,0.0333,0.0064,0.0235,0.0068,0.0177,0.0048,0.6037,0.0151,0.2116,0.0147,0.5653,0.0188,35,0.0
oracle_exception_selector,combined_exception_stress,5,0.6997,0.0176,0.6337,0.016,0.1997,0.0134,0.0925,0.011,0.0299,0.0051,0.0207,0.0069,0.0197,0.0045,0.5946,0.0163,0.2214,0.012,0.5752,0.0195,35,0.0
