method,split,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups
invariance_penalty_policy,shortcut_shift,0.472917,0.016134,0.369907,0.012776,0.264815,0.010569,0.091435,0.009156,0.119444,0.009852,0.381713,0.01205,0.145139,0.006697,0.129861,0.009111,0.170139,0.010806,0.305787,0.015665,0.297222,0.016037,0.297685,0.013274,0.381713,0.011123,0.144444,0.01015,0.05162,0.004688,0.11713,0.010931,0.30787,0.020835,0.479486,0.017139,10
large_behavior_clone,combined_exception_stress,0.231019,0.010985,0.173611,0.011216,0.365972,0.016955,0.185648,0.013129,0.250926,0.005334,0.222454,0.011684,0.240278,0.017943,0.258565,0.014972,0.167593,0.014852,0.349074,0.013146,0.45787,0.012504,0.42338,0.021156,0.19537,0.007446,0.297454,0.008773,0.111574,0.01232,0.177778,0.008195,0.521296,0.011534,0.161958,0.010287,10
large_behavior_clone,contact_tail_shift,0.324537,0.010796,0.196759,0.008792,0.358565,0.014732,0.178935,0.017882,0.215046,0.012443,0.247917,0.01437,0.219676,0.011527,0.235185,0.01906,0.160185,0.01005,0.371528,0.015157,0.392824,0.014364,0.413426,0.008534,0.222222,0.013976,0.247454,0.012589,0.090972,0.006237,0.156713,0.01078,0.466204,0.016611,0.257519,0.009556,10
large_behavior_clone,cross_robot_morphology,0.313889,0.009377,0.209722,0.008234,0.335417,0.008241,0.161343,0.014091,0.214815,0.007676,0.224769,0.02016,0.218287,0.016106,0.243056,0.007221,0.155324,0.011326,0.369213,0.016515,0.414815,0.015553,0.421296,0.019823,0.225926,0.012438,0.262963,0.020349,0.124537,0.009843,0.163194,0.009666,0.459491,0.015822,0.248479,0.011367,10
large_behavior_clone,embodiment_shift,0.338426,0.012668,0.191667,0.010163,0.33125,0.011306,0.157176,0.010466,0.214583,0.012024,0.230093,0.013614,0.21088,0.01507,0.230787,0.016077,0.151157,0.011032,0.367361,0.00582,0.409722,0.010968,0.440741,0.012584,0.216435,0.008038,0.25787,0.01465,0.10787,0.008978,0.15625,0.008902,0.440972,0.023616,0.269295,0.015034,10
large_behavior_clone,heldout_exception_composition,0.273148,0.01223,0.186111,0.014821,0.360648,0.011253,0.175694,0.008856,0.239352,0.009377,0.23125,0.012571,0.22662,0.016683,0.244907,0.010625,0.17037,0.008344,0.364815,0.015111,0.42338,0.01746,0.4125,0.011962,0.214583,0.014075,0.286806,0.011878,0.113194,0.00948,0.168981,0.013661,0.481944,0.014312,0.204325,0.009504,10
large_behavior_clone,nominal_scaling,0.453472,0.017964,0.222454,0.009334,0.294444,0.01325,0.122454,0.009812,0.20463,0.010741,0.248843,0.009378,0.166898,0.01345,0.200694,0.016595,0.132176,0.008072,0.395602,0.014016,0.344907,0.00966,0.415278,0.014382,0.271759,0.015647,0.233796,0.014741,0.079861,0.007569,0.12963,0.009963,0.370602,0.015606,0.40413,0.017042,10
large_behavior_clone,recovery_scarcity,0.31088,0.01078,0.186343,0.012347,0.338657,0.007095,0.17338,0.011801,0.221759,0.009269,0.222685,0.010732,0.231481,0.009824,0.229861,0.008871,0.157639,0.012183,0.358102,0.012762,0.412963,0.015588,0.417824,0.013084,0.222454,0.016026,0.265509,0.011948,0.094676,0.012069,0.182407,0.010943,0.463889,0.015337,0.238395,0.012115,10
large_behavior_clone,shortcut_shift,0.337269,0.012762,0.203009,0.011114,0.33125,0.01467,0.149306,0.007599,0.219444,0.010342,0.250231,0.009623,0.201157,0.011917,0.2375,0.019048,0.158796,0.012511,0.365972,0.020318,0.398843,0.011696,0.426389,0.012486,0.218519,0.00957,0.285417,0.01189,0.083333,0.00747,0.154167,0.011581,0.43287,0.014756,0.274569,0.012615,10
medium_behavior_clone,combined_exception_stress,0.219213,0.01676,0.192361,0.007605,0.355324,0.011057,0.172685,0.009154,0.183565,0.009075,0.245602,0.017617,0.230324,0.013429,0.207639,0.009075,0.163889,0.013439,0.216435,0.013292,0.400694,0.016901,0.275231,0.012679,0.208333,0.009149,0.233102,0.015747,0.114352,0.009617,0.181481,0.008667,0.53287,0.021439,0.172199,0.015022,10
medium_behavior_clone,contact_tail_shift,0.292361,0.014585,0.210417,0.011205,0.338194,0.017513,0.147685,0.012152,0.160185,0.011171,0.243981,0.014541,0.214815,0.01115,0.182407,0.010922,0.153241,0.00956,0.218287,0.011539,0.366667,0.008534,0.260185,0.017006,0.235648,0.014232,0.187269,0.006912,0.086343,0.008312,0.168519,0.006957,0.495602,0.019954,0.248532,0.015541,10
medium_behavior_clone,cross_robot_morphology,0.275231,0.01081,0.215741,0.013907,0.341667,0.014319,0.15,0.010943,0.157407,0.015184,0.227778,0.011035,0.205093,0.009546,0.188657,0.01197,0.165509,0.012066,0.221528,0.016205,0.375231,0.013934,0.281481,0.015217,0.21875,0.009353,0.19838,0.010281,0.112963,0.009889,0.150926,0.011924,0.496528,0.015735,0.229292,0.010016,10
medium_behavior_clone,embodiment_shift,0.303935,0.011657,0.217361,0.012589,0.326157,0.011507,0.148611,0.013439,0.153472,0.006559,0.242824,0.012012,0.208565,0.017302,0.175926,0.016246,0.16412,0.011447,0.226157,0.010124,0.368056,0.016331,0.271065,0.013261,0.237731,0.015154,0.204398,0.012269,0.105093,0.007446,0.165509,0.009131,0.474306,0.010746,0.259865,0.012832,10
medium_behavior_clone,heldout_exception_composition,0.250694,0.009373,0.213657,0.007127,0.349537,0.007652,0.171991,0.007441,0.175231,0.00947,0.237731,0.01238,0.225,0.013059,0.202083,0.014026,0.164352,0.011338,0.221296,0.0112,0.387269,0.013796,0.271296,0.016173,0.212731,0.014418,0.223611,0.006804,0.111574,0.010004,0.173843,0.007605,0.503009,0.0121,0.201983,0.009275,10
medium_behavior_clone,nominal_scaling,0.415278,0.013815,0.249074,0.011561,0.299537,0.012103,0.120139,0.009334,0.144213,0.00861,0.259491,0.007695,0.166667,0.011557,0.146296,0.009219,0.142593,0.009079,0.24838,0.007743,0.311806,0.014188,0.271065,0.013769,0.270602,0.015606,0.193056,0.013848,0.077778,0.010328,0.131481,0.011374,0.406481,0.016164,0.384998,0.01303,10
medium_behavior_clone,recovery_scarcity,0.287269,0.014227,0.214583,0.012435,0.331019,0.010821,0.159954,0.01205,0.153472,0.011339,0.23287,0.01419,0.212269,0.008257,0.185185,0.008844,0.165278,0.011402,0.214352,0.012438,0.38287,0.010741,0.26875,0.010178,0.222685,0.014675,0.211574,0.015352,0.096065,0.00983,0.181944,0.009254,0.485417,0.014459,0.240487,0.014422,10
medium_behavior_clone,shortcut_shift,0.304167,0.012943,0.216435,0.016193,0.317593,0.015844,0.135417,0.009946,0.17338,0.010466,0.253241,0.004792,0.203704,0.012023,0.192824,0.010413,0.154167,0.007893,0.224074,0.013923,0.376157,0.010699,0.270833,0.01665,0.222454,0.011507,0.22662,0.012769,0.083333,0.00673,0.152546,0.009431,0.462731,0.019701,0.260407,0.013733,10
model_only_scaling,combined_exception_stress,0.258333,0.013083,0.196759,0.016854,0.349074,0.014038,0.170139,0.008877,0.221991,0.013702,0.252083,0.011427,0.223611,0.011301,0.246528,0.015486,0.175694,0.007842,0.354167,0.012212,0.430787,0.019631,0.409491,0.014623,0.213194,0.010267,0.279398,0.015245,0.110648,0.011006,0.181481,0.007196,0.493519,0.008968,0.195141,0.01339,10
model_only_scaling,contact_tail_shift,0.354398,0.02,0.234491,0.008636,0.34375,0.017614,0.150231,0.008594,0.205093,0.011301,0.259028,0.014307,0.216898,0.013561,0.220139,0.017036,0.159491,0.012589,0.375231,0.010531,0.391898,0.008229,0.416435,0.022046,0.235185,0.012693,0.247917,0.011586,0.088194,0.009881,0.154398,0.012417,0.437269,0.025428,0.293852,0.017993,10
model_only_scaling,cross_robot_morphology,0.325231,0.015173,0.213426,0.01337,0.323843,0.010704,0.164583,0.007725,0.202778,0.009546,0.265509,0.00947,0.210648,0.010456,0.221065,0.011343,0.161574,0.014087,0.350231,0.013729,0.401389,0.01046,0.416204,0.010647,0.238657,0.014748,0.268287,0.010999,0.112731,0.009614,0.161111,0.008824,0.449537,0.018557,0.266118,0.012799,10
model_only_scaling,embodiment_shift,0.343981,0.016487,0.233796,0.010906,0.31713,0.015818,0.151389,0.013309,0.198148,0.007776,0.244444,0.008008,0.201852,0.010364,0.211343,0.011379,0.162037,0.007741,0.364352,0.010395,0.39213,0.01668,0.414583,0.017759,0.243287,0.012894,0.251852,0.012076,0.108102,0.009025,0.158333,0.015763,0.433565,0.019142,0.286332,0.01446,10
model_only_scaling,heldout_exception_composition,0.288657,0.013358,0.225,0.012829,0.347917,0.017297,0.165972,0.010303,0.214583,0.011359,0.240046,0.016331,0.221528,0.012958,0.230324,0.011836,0.169676,0.010969,0.371991,0.008449,0.424537,0.013831,0.413657,0.010928,0.236343,0.008673,0.269676,0.012291,0.107176,0.006051,0.164583,0.011743,0.467593,0.018816,0.226241,0.013977,10
model_only_scaling,nominal_scaling,0.459954,0.013494,0.250463,0.009512,0.292824,0.016925,0.10787,0.007835,0.18287,0.018034,0.283565,0.013446,0.152778,0.009124,0.189583,0.007725,0.144907,0.008399,0.373611,0.016079,0.328009,0.010631,0.400231,0.013951,0.281481,0.013831,0.249074,0.011118,0.077546,0.009499,0.125463,0.01005,0.362963,0.015974,0.422052,0.015586,10
model_only_scaling,recovery_scarcity,0.330324,0.019297,0.233565,0.011955,0.321296,0.008993,0.160417,0.01396,0.206944,0.009204,0.23912,0.011359,0.216435,0.009547,0.212963,0.00693,0.16088,0.00829,0.360185,0.009991,0.393519,0.009493,0.41088,0.016418,0.244676,0.009964,0.260185,0.016193,0.093056,0.007997,0.174769,0.007837,0.447454,0.025207,0.269993,0.018467,10
model_only_scaling,shortcut_shift,0.351389,0.013608,0.232407,0.011893,0.322222,0.012189,0.143981,0.012541,0.208565,0.013157,0.267361,0.013531,0.199769,0.009518,0.234259,0.011769,0.166898,0.01205,0.362037,0.013048,0.391435,0.009431,0.40463,0.014846,0.243287,0.010133,0.277083,0.011578,0.087269,0.009964,0.147917,0.005082,0.418056,0.014493,0.295666,0.01536,10
oracle_exception_selector,combined_exception_stress,0.748611,0.010847,0.677546,0.020189,0.161806,0.007725,0.021296,0.003229,0.003241,0.001386,0.637963,0.018697,0.070602,0.00455,0.005093,0.001764,0.192593,0.011652,0.40463,0.0142,0.168519,0.011068,0.293981,0.013661,0.649074,0.013815,0.062037,0.007022,0.021065,0.003732,0.049769,0.007447,0.0,0.0,0.845841,0.00834,10
oracle_exception_selector,contact_tail_shift,0.784491,0.011898,0.691667,0.015859,0.161574,0.008442,0.015741,0.003158,0.004398,0.001256,0.652315,0.014984,0.06088,0.005975,0.003935,0.001919,0.180093,0.010208,0.390972,0.012805,0.18588,0.012726,0.30463,0.012818,0.692361,0.015897,0.058333,0.006117,0.015278,0.002964,0.045833,0.005888,0.0,0.0,0.880329,0.010023,10
oracle_exception_selector,cross_robot_morphology,0.767593,0.012121,0.684722,0.011808,0.170602,0.010587,0.012963,0.003258,0.003009,0.002793,0.650231,0.014778,0.061111,0.005865,0.004398,0.002658,0.185417,0.011123,0.409028,0.013494,0.169907,0.015573,0.297917,0.00861,0.665741,0.010612,0.051389,0.004725,0.015741,0.004103,0.040741,0.006837,0.0,0.0,0.865289,0.010966,10
oracle_exception_selector,embodiment_shift,0.772685,0.013163,0.71875,0.01264,0.150926,0.009866,0.014815,0.003258,0.003704,0.001542,0.641667,0.017161,0.061574,0.006095,0.003009,0.00152,0.18287,0.010715,0.425,0.021539,0.18287,0.0108,0.301157,0.014466,0.683796,0.015411,0.063657,0.007229,0.015972,0.003793,0.038426,0.004792,0.0,0.0,0.87253,0.011353,10
oracle_exception_selector,heldout_exception_composition,0.749537,0.00982,0.691204,0.013715,0.16412,0.012183,0.013889,0.003172,0.003704,0.002263,0.648148,0.014041,0.057176,0.004926,0.007176,0.003544,0.192361,0.011245,0.400694,0.01949,0.176157,0.013669,0.297917,0.020437,0.660417,0.016609,0.065046,0.007545,0.017824,0.005328,0.046065,0.0079,0.0,0.0,0.848183,0.008711,10
oracle_exception_selector,nominal_scaling,0.815046,0.011019,0.73287,0.018512,0.152083,0.01322,0.011111,0.0033,0.002315,0.001789,0.663889,0.011232,0.054398,0.006281,0.002778,0.001482,0.154398,0.005064,0.431713,0.016515,0.157176,0.012406,0.304167,0.017986,0.725231,0.00959,0.056481,0.007322,0.01412,0.003732,0.036574,0.005651,0.0,0.0,0.908949,0.007362,10
oracle_exception_selector,recovery_scarcity,0.769213,0.011237,0.699074,0.013459,0.156944,0.010817,0.016204,0.002619,0.00463,0.002029,0.642361,0.007866,0.065509,0.008202,0.005324,0.00271,0.189815,0.008283,0.401852,0.013343,0.184259,0.01336,0.29537,0.007864,0.681019,0.018826,0.05787,0.007284,0.017593,0.00484,0.045602,0.00537,0.0,0.0,0.868916,0.009013,10
oracle_exception_selector,shortcut_shift,0.763194,0.011598,0.7,0.015922,0.161111,0.009449,0.009954,0.002793,0.006019,0.002549,0.659722,0.018224,0.056481,0.006316,0.005093,0.001889,0.179398,0.007866,0.403472,0.015094,0.170833,0.007434,0.295602,0.008556,0.683333,0.013825,0.067824,0.005781,0.014815,0.003955,0.04213,0.006373,0.0,0.0,0.867459,0.008999,10
proposed_embodied_scale_exception_audit_v4,combined_exception_stress,0.57338,0.00786,0.548843,0.014639,0.215741,0.010118,0.072685,0.010547,0.062269,0.005215,0.520602,0.012769,0.11875,0.010479,0.065046,0.008323,0.188426,0.009968,0.31412,0.011539,0.252546,0.014307,0.252546,0.011184,0.527778,0.013062,0.112731,0.007191,0.046528,0.005513,0.089583,0.008923,0.209259,0.009617,0.635233,0.010288,10
proposed_embodied_scale_exception_audit_v4,contact_tail_shift,0.591204,0.01197,0.58125,0.01992,0.208796,0.014248,0.057407,0.006154,0.056944,0.006529,0.531713,0.019047,0.106481,0.004924,0.058565,0.006382,0.192593,0.015256,0.316667,0.011652,0.234954,0.009475,0.252778,0.015196,0.548611,0.017296,0.104861,0.013746,0.039583,0.007172,0.075,0.006804,0.223843,0.01334,0.661736,0.011662,10
proposed_embodied_scale_exception_audit_v4,cross_robot_morphology,0.581019,0.01699,0.575,0.012215,0.212269,0.014268,0.061111,0.007951,0.053472,0.007108,0.537963,0.013598,0.102546,0.006932,0.049769,0.003958,0.193981,0.013076,0.31875,0.010413,0.236806,0.016034,0.253241,0.012046,0.542361,0.010078,0.107407,0.009782,0.04838,0.007454,0.08912,0.010374,0.219907,0.018398,0.650725,0.017462,10
proposed_embodied_scale_exception_audit_v4,embodiment_shift,0.603472,0.01919,0.590741,0.009488,0.210185,0.008656,0.061111,0.006529,0.049074,0.004267,0.520139,0.015334,0.111574,0.008576,0.05162,0.008636,0.180787,0.011586,0.318056,0.015661,0.23912,0.011217,0.253009,0.012726,0.549074,0.011691,0.106944,0.006857,0.041898,0.005302,0.084259,0.007477,0.209954,0.021474,0.674243,0.019581,10
proposed_embodied_scale_exception_audit_v4,heldout_exception_composition,0.569676,0.010466,0.571759,0.022319,0.221065,0.011797,0.072917,0.007569,0.057176,0.006965,0.536574,0.012431,0.115046,0.012454,0.055556,0.006236,0.181944,0.01419,0.30625,0.016191,0.231713,0.014856,0.270139,0.014679,0.540046,0.015305,0.112037,0.008453,0.041204,0.007765,0.088426,0.006585,0.219907,0.014941,0.634896,0.012539,10
proposed_embodied_scale_exception_audit_v4,nominal_scaling,0.653241,0.013094,0.589352,0.011301,0.198611,0.013439,0.046065,0.006104,0.047454,0.008373,0.563194,0.011793,0.083796,0.007765,0.045139,0.006021,0.166204,0.009094,0.33287,0.013858,0.208565,0.020023,0.279861,0.014032,0.566898,0.018895,0.103935,0.010915,0.040046,0.005413,0.070139,0.009661,0.196991,0.013534,0.730013,0.012775,10
proposed_embodied_scale_exception_audit_v4,recovery_scarcity,0.597917,0.014942,0.574769,0.007623,0.219444,0.013041,0.058333,0.004627,0.048843,0.005596,0.523611,0.013233,0.103472,0.011359,0.052315,0.007415,0.172917,0.009756,0.315046,0.006812,0.233796,0.006452,0.26088,0.012062,0.552083,0.00829,0.1,0.009889,0.040741,0.004597,0.096759,0.009169,0.212269,0.012417,0.668931,0.015428,10
proposed_embodied_scale_exception_audit_v4,shortcut_shift,0.592824,0.010422,0.59838,0.010699,0.208565,0.012661,0.056713,0.005867,0.058102,0.006432,0.536111,0.021845,0.106019,0.012038,0.057176,0.004832,0.184722,0.00944,0.324769,0.009176,0.23912,0.013081,0.259028,0.013,0.525231,0.01011,0.111343,0.010618,0.035185,0.003692,0.082176,0.007102,0.210417,0.009528,0.663451,0.010718,10
retrieval_augmented_nearest_failure,combined_exception_stress,0.415741,0.009474,0.422917,0.017031,0.281481,0.009154,0.10625,0.008351,0.112963,0.005186,0.400694,0.008268,0.156481,0.009968,0.139352,0.011962,0.192593,0.011253,0.28125,0.011817,0.31412,0.023302,0.265046,0.01722,0.432639,0.014114,0.171991,0.010716,0.071991,0.008804,0.127315,0.006522,0.346065,0.011201,0.431341,0.009894,10
retrieval_augmented_nearest_failure,contact_tail_shift,0.485648,0.00982,0.42338,0.017604,0.278241,0.01436,0.091435,0.006972,0.108102,0.00562,0.419444,0.01394,0.145833,0.009347,0.111111,0.009541,0.187731,0.014355,0.283333,0.01197,0.277083,0.012654,0.266204,0.009871,0.455787,0.01104,0.159491,0.012841,0.050926,0.005779,0.107639,0.005505,0.3125,0.016359,0.508992,0.011154,10
retrieval_augmented_nearest_failure,cross_robot_morphology,0.469676,0.010789,0.452778,0.012008,0.2625,0.016305,0.106713,0.007043,0.106713,0.010065,0.411574,0.018802,0.136574,0.010586,0.118519,0.013973,0.187037,0.011847,0.282176,0.014016,0.289352,0.012761,0.260648,0.013963,0.439815,0.011175,0.163889,0.013742,0.084722,0.009254,0.121065,0.011094,0.315278,0.013956,0.493017,0.011476,10
retrieval_augmented_nearest_failure,embodiment_shift,0.479861,0.013254,0.45625,0.017486,0.256019,0.008178,0.082639,0.005455,0.097917,0.009566,0.405093,0.019118,0.133565,0.008257,0.120833,0.011293,0.18588,0.008367,0.289583,0.009186,0.284954,0.00714,0.265509,0.014188,0.434028,0.015486,0.167824,0.009378,0.066667,0.008442,0.109722,0.014319,0.31713,0.015319,0.506678,0.014521,10
retrieval_augmented_nearest_failure,heldout_exception_composition,0.434259,0.017273,0.448611,0.012829,0.266898,0.009075,0.1,0.01354,0.10625,0.008567,0.403935,0.009131,0.141204,0.012797,0.125926,0.008667,0.190278,0.015959,0.287037,0.016663,0.289815,0.019389,0.263194,0.014123,0.434491,0.013862,0.174306,0.015215,0.066898,0.008351,0.124769,0.006252,0.33287,0.015641,0.455896,0.017011,10
retrieval_augmented_nearest_failure,nominal_scaling,0.577315,0.005943,0.479167,0.013976,0.238657,0.013192,0.064352,0.008054,0.093056,0.004676,0.434259,0.011014,0.123611,0.011362,0.097454,0.005836,0.167593,0.016501,0.321296,0.009843,0.244444,0.011679,0.267593,0.014759,0.489352,0.017126,0.14838,0.006432,0.048148,0.005731,0.092593,0.007531,0.260648,0.012197,0.618845,0.007762,10
retrieval_augmented_nearest_failure,recovery_scarcity,0.47662,0.011625,0.443056,0.01615,0.263426,0.007882,0.105787,0.007889,0.10787,0.009352,0.402083,0.008476,0.135417,0.008095,0.115278,0.009119,0.177083,0.008481,0.298843,0.012257,0.274074,0.013031,0.269213,0.014554,0.438657,0.014078,0.168981,0.013927,0.068287,0.009992,0.126157,0.011139,0.3125,0.016636,0.498312,0.012467,10
retrieval_augmented_nearest_failure,shortcut_shift,0.498611,0.016164,0.449537,0.00855,0.255324,0.010928,0.087037,0.007196,0.113194,0.009788,0.412963,0.018125,0.125231,0.004708,0.11412,0.007593,0.184491,0.013696,0.296296,0.009824,0.289815,0.013742,0.271991,0.011875,0.442593,0.010775,0.180556,0.006831,0.058796,0.005626,0.099769,0.013261,0.286343,0.017689,0.525211,0.018772,10
risk_sensitive_cvar_policy,combined_exception_stress,0.39213,0.013031,0.400231,0.014607,0.290046,0.012744,0.08912,0.010352,0.095833,0.009003,0.441204,0.018226,0.144444,0.012438,0.110185,0.008344,0.232407,0.013083,0.240741,0.016288,0.309954,0.0217,0.240278,0.01217,0.384954,0.015906,0.17037,0.007893,0.069213,0.007392,0.100926,0.011601,0.365278,0.017673,0.408888,0.015085,10
risk_sensitive_cvar_policy,contact_tail_shift,0.465741,0.015226,0.418287,0.008004,0.276389,0.012925,0.081713,0.007772,0.078009,0.00562,0.430093,0.011434,0.141898,0.010716,0.102778,0.009991,0.207639,0.011948,0.259028,0.011061,0.278472,0.013426,0.218519,0.008344,0.397685,0.012449,0.146528,0.009075,0.058333,0.006723,0.084491,0.006635,0.32963,0.01214,0.492162,0.015237,10
risk_sensitive_cvar_policy,cross_robot_morphology,0.445833,0.009303,0.412037,0.012617,0.262731,0.018189,0.070833,0.007598,0.074769,0.008897,0.438889,0.011816,0.127315,0.009731,0.105556,0.010373,0.212963,0.013288,0.258333,0.007864,0.289352,0.017753,0.237269,0.016446,0.384259,0.017676,0.154167,0.00848,0.072917,0.009595,0.090278,0.008661,0.338194,0.01534,0.472796,0.007442,10
risk_sensitive_cvar_policy,embodiment_shift,0.45162,0.013399,0.423843,0.008933,0.264815,0.010395,0.077315,0.007658,0.075463,0.00856,0.441898,0.014049,0.121296,0.008122,0.097685,0.007735,0.214352,0.008037,0.253935,0.011359,0.27963,0.012245,0.235417,0.012618,0.382639,0.01294,0.146759,0.008122,0.077546,0.007659,0.087731,0.007484,0.334259,0.018012,0.479223,0.013628,10
risk_sensitive_cvar_policy,heldout_exception_composition,0.424537,0.013188,0.412037,0.012379,0.271528,0.011578,0.075,0.007415,0.091435,0.006425,0.441898,0.01887,0.134259,0.007887,0.115278,0.011171,0.22662,0.018317,0.243287,0.0179,0.304167,0.021845,0.249306,0.011774,0.382407,0.022204,0.159491,0.010746,0.072917,0.010656,0.096991,0.005302,0.344213,0.014252,0.445956,0.013607,10
risk_sensitive_cvar_policy,nominal_scaling,0.551157,0.010767,0.455324,0.016247,0.243056,0.010145,0.052546,0.006832,0.065046,0.005914,0.461806,0.008095,0.09838,0.004746,0.090046,0.009973,0.193519,0.015965,0.269444,0.022586,0.244213,0.013137,0.228009,0.008773,0.43125,0.017178,0.137731,0.010263,0.05463,0.005291,0.069213,0.00846,0.286343,0.013133,0.596587,0.012544,10
risk_sensitive_cvar_policy,recovery_scarcity,0.445602,0.017087,0.437731,0.011743,0.259722,0.017699,0.072222,0.009119,0.086111,0.009342,0.441435,0.01422,0.124074,0.00677,0.099537,0.006272,0.209954,0.011479,0.24213,0.008614,0.29537,0.010127,0.225926,0.016501,0.396065,0.009623,0.155093,0.009298,0.067593,0.009094,0.096991,0.006978,0.337269,0.02201,0.476168,0.018745,10
risk_sensitive_cvar_policy,shortcut_shift,0.462037,0.014462,0.423843,0.017746,0.264583,0.012869,0.072685,0.006459,0.084954,0.00454,0.445602,0.019488,0.124306,0.007623,0.1125,0.009546,0.206944,0.010172,0.254861,0.010223,0.284722,0.014203,0.24213,0.01547,0.384954,0.010214,0.163889,0.014534,0.057407,0.007968,0.093981,0.004744,0.315741,0.012438,0.489666,0.012776,10
small_behavior_clone,combined_exception_stress,0.17037,0.013547,0.20162,0.007635,0.370833,0.012776,0.180093,0.006757,0.158102,0.013443,0.228241,0.013274,0.243287,0.013885,0.184954,0.010936,0.165972,0.017057,0.097222,0.005061,0.369444,0.016992,0.144676,0.014287,0.177546,0.014475,0.187269,0.013416,0.121296,0.01091,0.188194,0.006524,0.57963,0.014109,0.134749,0.010746,10
small_behavior_clone,contact_tail_shift,0.258333,0.019698,0.206944,0.013765,0.341667,0.009204,0.159028,0.011156,0.131481,0.007911,0.234259,0.012504,0.215046,0.0087,0.161806,0.015054,0.165972,0.010479,0.10787,0.009401,0.339583,0.014236,0.136343,0.008514,0.232639,0.010974,0.159722,0.013271,0.081481,0.007495,0.153704,0.010889,0.52963,0.021375,0.222931,0.018533,10
small_behavior_clone,cross_robot_morphology,0.230093,0.012253,0.214815,0.007151,0.326157,0.015518,0.172917,0.009348,0.120602,0.010831,0.22963,0.013557,0.199769,0.010522,0.164352,0.017727,0.164815,0.01173,0.099769,0.00948,0.350694,0.015865,0.144907,0.006736,0.20787,0.01043,0.173148,0.009269,0.115509,0.0104,0.161574,0.011904,0.540278,0.015381,0.196874,0.009867,10
small_behavior_clone,embodiment_shift,0.262963,0.011522,0.232176,0.013812,0.324769,0.012527,0.158102,0.007563,0.115509,0.008984,0.230787,0.009225,0.202778,0.012621,0.159028,0.008846,0.152778,0.008501,0.093519,0.010741,0.338426,0.010964,0.137269,0.013237,0.219213,0.013028,0.156944,0.009244,0.116204,0.010985,0.165509,0.015633,0.512037,0.019032,0.233016,0.013271,10
small_behavior_clone,heldout_exception_composition,0.200231,0.011302,0.207407,0.01317,0.349074,0.018158,0.169676,0.011196,0.136806,0.010682,0.229167,0.01063,0.230556,0.014588,0.170139,0.011443,0.163194,0.011015,0.096296,0.010239,0.356944,0.015464,0.136343,0.011546,0.196065,0.011318,0.186574,0.011816,0.10463,0.004915,0.174074,0.014784,0.551389,0.01349,0.168446,0.010794,10
small_behavior_clone,nominal_scaling,0.374074,0.010127,0.246528,0.016052,0.298148,0.015151,0.112037,0.008927,0.099537,0.008635,0.24537,0.012921,0.161806,0.005302,0.127083,0.011019,0.136806,0.015024,0.118519,0.007464,0.279167,0.009449,0.136806,0.010596,0.247917,0.013786,0.15162,0.010128,0.072222,0.005097,0.128472,0.009946,0.445602,0.008954,0.357701,0.010465,10
small_behavior_clone,recovery_scarcity,0.235185,0.008037,0.212963,0.009824,0.329167,0.013111,0.167361,0.006454,0.121528,0.010869,0.218981,0.015262,0.202778,0.013274,0.157407,0.006236,0.166435,0.010831,0.108333,0.008167,0.349074,0.013473,0.144444,0.011462,0.209028,0.009964,0.161806,0.009812,0.103009,0.010461,0.189352,0.0129,0.535648,0.013581,0.200084,0.007217,10
small_behavior_clone,shortcut_shift,0.261111,0.010647,0.226852,0.008922,0.317824,0.017416,0.143981,0.007939,0.130556,0.010547,0.233102,0.012762,0.202315,0.016625,0.158102,0.013679,0.16412,0.009161,0.1,0.008415,0.33125,0.012643,0.146296,0.01069,0.207639,0.016247,0.187731,0.012571,0.096759,0.007735,0.161574,0.014815,0.504861,0.015311,0.228758,0.01042,10
