risk_budget,method,mean_mean_success,ci95_mean_success,mean_mean_rare_failure_recall,ci95_mean_rare_failure_recall,mean_mean_contact_boundary_error,ci95_mean_contact_boundary_error,mean_mean_unsafe_commitment,ci95_mean_unsafe_commitment,mean_mean_overtrust_rate,ci95_mean_overtrust_rate,mean_mean_recovery_success,ci95_mean_recovery_success,mean_mean_tail_risk_rate,ci95_mean_tail_risk_rate,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_average_scaling_gain,ci95_mean_average_scaling_gain,mean_mean_boundary_risk_slope,ci95_mean_boundary_risk_slope,mean_mean_scale_exception_gap,ci95_mean_scale_exception_gap,mean_mean_boundary_coverage,ci95_mean_boundary_coverage,mean_mean_shortcut_reliance,ci95_mean_shortcut_reliance,mean_mean_morphology_transfer_gap,ci95_mean_morphology_transfer_gap,mean_mean_recoverability_deficit,ci95_mean_recoverability_deficit,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,mean_mean_coverage,ci95_mean_coverage,mean_mean_risk_score,ci95_mean_risk_score,groups
0.08,model_only_scaling,0.107773,0.00633,0.196759,0.016854,0.349074,0.014038,0.170139,0.008877,0.221991,0.013702,0.252083,0.011427,0.223611,0.011301,0.246528,0.015486,0.175694,0.007842,0.354167,0.012212,0.430787,0.019631,0.409491,0.014623,0.213194,0.010267,0.279398,0.015245,0.110648,0.011006,0.181481,0.007196,0.0,0.0,0.064527,0.006904,0.15662,0.011076,0.203153,0.004944,10
0.08,oracle_exception_selector,0.600514,0.00823,0.677546,0.020189,0.161806,0.007725,0.021296,0.003229,0.003241,0.001386,0.637963,0.018697,0.070602,0.00455,0.005093,0.001764,0.192593,0.011652,0.40463,0.0142,0.168519,0.011068,0.293981,0.013661,0.649074,0.013815,0.062037,0.007022,0.021065,0.003732,0.049769,0.007447,0.0,0.0,0.667646,0.007729,0.718268,0.014057,0.031218,0.001557,10
0.08,proposed_embodied_scale_exception_audit_v4,0.399404,0.008584,0.548843,0.014639,0.215741,0.010118,0.072685,0.010547,0.062269,0.005215,0.520602,0.012769,0.11875,0.010479,0.065046,0.008323,0.188426,0.009968,0.31412,0.011539,0.252546,0.014307,0.252546,0.011184,0.527778,0.013062,0.112731,0.007191,0.046528,0.005513,0.089583,0.008923,0.0,0.0,0.431072,0.010939,0.569887,0.013266,0.083866,0.004092,10
0.08,retrieval_augmented_nearest_failure,0.252456,0.007332,0.422917,0.017031,0.281481,0.009154,0.10625,0.008351,0.112963,0.005186,0.400694,0.008268,0.156481,0.009968,0.139352,0.011962,0.192593,0.011253,0.28125,0.011817,0.31412,0.023302,0.265046,0.01722,0.432639,0.014114,0.171991,0.010716,0.071991,0.008804,0.127315,0.006522,0.0,0.0,0.24935,0.008105,0.437297,0.013886,0.125838,0.005117,10
0.08,risk_sensitive_cvar_policy,0.228704,0.008391,0.400231,0.014607,0.290046,0.012744,0.08912,0.010352,0.095833,0.009003,0.441204,0.018226,0.144444,0.012438,0.110185,0.008344,0.232407,0.013083,0.240741,0.016288,0.309954,0.0217,0.240278,0.01217,0.384954,0.015906,0.17037,0.007893,0.069213,0.007392,0.100926,0.011601,0.0,0.0,0.227741,0.010277,0.406624,0.016908,0.109032,0.006031,10
0.08,small_behavior_clone,0.068217,0.00601,0.20162,0.007635,0.370833,0.012776,0.180093,0.006757,0.158102,0.013443,0.228241,0.013274,0.243287,0.013885,0.184954,0.010936,0.165972,0.017057,0.097222,0.005061,0.369444,0.016992,0.144676,0.014287,0.177546,0.014475,0.187269,0.013416,0.121296,0.01091,0.188194,0.006524,0.0,0.0,0.042632,0.004651,0.136429,0.012369,0.195579,0.004681,10
0.12,boundary_aware_scale_exception_audit_v5,0.492395,0.012458,0.634491,0.013347,0.185185,0.009274,0.042361,0.004438,0.027546,0.006066,0.578935,0.012625,0.085185,0.007968,0.028241,0.004267,0.21713,0.018309,0.309722,0.016892,0.192824,0.011618,0.231944,0.014168,0.622454,0.015085,0.085417,0.008804,0.028241,0.004915,0.069676,0.004248,0.0,0.0,0.558761,0.013951,0.692608,0.01569,0.05113,0.003736,10
0.12,compute_balanced_scaling,0.148251,0.004682,0.270833,0.012904,0.33912,0.013782,0.164583,0.016012,0.19838,0.011011,0.289583,0.018367,0.224074,0.013353,0.216204,0.008693,0.164583,0.00995,0.366204,0.014248,0.411111,0.022998,0.404861,0.013585,0.261111,0.008306,0.258796,0.012668,0.095602,0.006559,0.164583,0.011387,0.0,0.0,0.109442,0.005305,0.245572,0.011635,0.193676,0.009654,10
0.12,conformal_risk_filter,0.252208,0.005839,0.407176,0.00901,0.285648,0.012693,0.087037,0.008037,0.095139,0.007515,0.38588,0.013272,0.146991,0.011015,0.120602,0.007575,0.221065,0.016735,0.25787,0.01479,0.308796,0.013682,0.25162,0.0143,0.398611,0.011494,0.181713,0.013699,0.075694,0.013595,0.122685,0.006345,0.0,0.0,0.255868,0.005943,0.44732,0.012542,0.109838,0.004819,10
0.12,data_only_scaling,0.127264,0.005495,0.25463,0.01576,0.337731,0.014886,0.167824,0.011817,0.206481,0.015361,0.278241,0.012704,0.219444,0.013129,0.207176,0.011077,0.176389,0.00825,0.319676,0.0228,0.41875,0.015415,0.365046,0.015275,0.229398,0.012805,0.25625,0.011419,0.104167,0.006557,0.186111,0.010482,0.0,0.0,0.09107,0.00667,0.211353,0.015265,0.194204,0.007924,10
0.12,dropout_risk_filter,0.231845,0.006481,0.396065,0.015592,0.291898,0.012126,0.098148,0.007568,0.104861,0.0092,0.386574,0.013811,0.150694,0.013568,0.116435,0.011832,0.214815,0.006042,0.258796,0.010668,0.32037,0.012327,0.25162,0.007889,0.378935,0.010631,0.18125,0.011618,0.083565,0.008959,0.13287,0.008693,0.0,0.0,0.231202,0.007232,0.421748,0.009394,0.116949,0.006141,10
0.12,ensemble_uncertainty_gate,0.22144,0.010858,0.384722,0.021321,0.306019,0.011109,0.106944,0.008656,0.121991,0.012324,0.374306,0.015033,0.150463,0.009049,0.14213,0.006388,0.211111,0.010495,0.263889,0.011617,0.334259,0.009498,0.268056,0.018729,0.371065,0.007772,0.186343,0.011483,0.078472,0.009881,0.127778,0.008813,0.0,0.0,0.216001,0.009493,0.408968,0.009432,0.126227,0.005748,10
0.12,generic_scaling_law_extrapolator,0.129846,0.008262,0.226389,0.018777,0.334491,0.01398,0.167824,0.014991,0.2125,0.011613,0.250231,0.012145,0.22037,0.013507,0.237037,0.010306,0.170139,0.019204,0.37338,0.009709,0.439352,0.014232,0.441435,0.017946,0.230787,0.020604,0.268519,0.011378,0.103704,0.011374,0.174537,0.009303,0.0,0.0,0.088854,0.007281,0.212655,0.021693,0.198551,0.007156,10
0.12,invariance_penalty_policy,0.232465,0.011611,0.354398,0.013123,0.29537,0.015411,0.121065,0.008689,0.117593,0.011827,0.356019,0.019855,0.171528,0.007987,0.143056,0.008761,0.191667,0.011474,0.292824,0.019228,0.324306,0.014685,0.294444,0.012038,0.362963,0.011006,0.15162,0.009571,0.061806,0.00631,0.146991,0.009106,0.0,0.0,0.218951,0.012822,0.390926,0.013172,0.137778,0.004295,10
0.12,large_behavior_clone,0.094976,0.0048,0.173611,0.011216,0.365972,0.016955,0.185648,0.013129,0.250926,0.005334,0.222454,0.011684,0.240278,0.017943,0.258565,0.014972,0.167593,0.014852,0.349074,0.013146,0.45787,0.012504,0.42338,0.021156,0.19537,0.007446,0.297454,0.008773,0.111574,0.01232,0.177778,0.008195,0.0,0.0,0.054284,0.004407,0.163957,0.007429,0.221079,0.006769,10
0.12,medium_behavior_clone,0.096323,0.008251,0.192361,0.007605,0.355324,0.011057,0.172685,0.009154,0.183565,0.009075,0.245602,0.017617,0.230324,0.013429,0.207639,0.009075,0.163889,0.013439,0.216435,0.013292,0.400694,0.016901,0.275231,0.012679,0.208333,0.009149,0.233102,0.015747,0.114352,0.009617,0.181481,0.008667,0.0,0.0,0.065892,0.006912,0.19009,0.008601,0.195431,0.007586,10
0.12,model_only_scaling,0.114181,0.006525,0.196759,0.016854,0.349074,0.014038,0.170139,0.008877,0.221991,0.013702,0.252083,0.011427,0.223611,0.011301,0.246528,0.015486,0.175694,0.007842,0.354167,0.012212,0.430787,0.019631,0.409491,0.014623,0.213194,0.010267,0.279398,0.015245,0.110648,0.011006,0.181481,0.007196,0.0,0.0,0.074654,0.00717,0.190571,0.01188,0.203153,0.004944,10
0.12,oracle_exception_selector,0.602513,0.00802,0.677546,0.020189,0.161806,0.007725,0.021296,0.003229,0.003241,0.001386,0.637963,0.018697,0.070602,0.00455,0.005093,0.001764,0.192593,0.011652,0.40463,0.0142,0.168519,0.011068,0.293981,0.013661,0.649074,0.013815,0.062037,0.007022,0.021065,0.003732,0.049769,0.007447,0.0,0.0,0.670621,0.007453,0.722177,0.013959,0.031218,0.001557,10
0.12,proposed_embodied_scale_exception_audit_v4,0.407351,0.008328,0.548843,0.014639,0.215741,0.010118,0.072685,0.010547,0.062269,0.005215,0.520602,0.012769,0.11875,0.010479,0.065046,0.008323,0.188426,0.009968,0.31412,0.011539,0.252546,0.014307,0.252546,0.011184,0.527778,0.013062,0.112731,0.007191,0.046528,0.005513,0.089583,0.008923,0.0,0.0,0.443217,0.010487,0.589534,0.013038,0.083866,0.004092,10
0.12,retrieval_augmented_nearest_failure,0.261289,0.007817,0.422917,0.017031,0.281481,0.009154,0.10625,0.008351,0.112963,0.005186,0.400694,0.008268,0.156481,0.009968,0.139352,0.011962,0.192593,0.011253,0.28125,0.011817,0.31412,0.023302,0.265046,0.01722,0.432639,0.014114,0.171991,0.010716,0.071991,0.008804,0.127315,0.006522,0.0,0.0,0.263598,0.008643,0.468029,0.015056,0.125838,0.005117,10
0.12,risk_sensitive_cvar_policy,0.236036,0.008462,0.400231,0.014607,0.290046,0.012744,0.08912,0.010352,0.095833,0.009003,0.441204,0.018226,0.144444,0.012438,0.110185,0.008344,0.232407,0.013083,0.240741,0.016288,0.309954,0.0217,0.240278,0.01217,0.384954,0.015906,0.17037,0.007893,0.069213,0.007392,0.100926,0.011601,0.0,0.0,0.239832,0.010179,0.433549,0.016373,0.109032,0.006031,10
0.12,small_behavior_clone,0.071854,0.006183,0.20162,0.007635,0.370833,0.012776,0.180093,0.006757,0.158102,0.013443,0.228241,0.013274,0.243287,0.013885,0.184954,0.010936,0.165972,0.017057,0.097222,0.005061,0.369444,0.016992,0.144676,0.014287,0.177546,0.014475,0.187269,0.013416,0.121296,0.01091,0.188194,0.006524,0.0,0.0,0.049555,0.004877,0.1665,0.012511,0.195579,0.004681,10
0.16,boundary_aware_scale_exception_audit_v5,0.493607,0.012387,0.634491,0.013347,0.185185,0.009274,0.042361,0.004438,0.027546,0.006066,0.578935,0.012625,0.085185,0.007968,0.028241,0.004267,0.21713,0.018309,0.309722,0.016892,0.192824,0.011618,0.231944,0.014168,0.622454,0.015085,0.085417,0.008804,0.028241,0.004915,0.069676,0.004248,0.0,0.0,0.560586,0.013789,0.695339,0.01547,0.05113,0.003736,10
0.16,compute_balanced_scaling,0.155616,0.004761,0.270833,0.012904,0.33912,0.013782,0.164583,0.016012,0.19838,0.011011,0.289583,0.018367,0.224074,0.013353,0.216204,0.008693,0.164583,0.00995,0.366204,0.014248,0.411111,0.022998,0.404861,0.013585,0.261111,0.008306,0.258796,0.012668,0.095602,0.006559,0.164583,0.011387,0.0,0.0,0.120774,0.005199,0.278385,0.011143,0.193676,0.009654,10
